Здрава
	заложен нос. раны кровят в обеих ноздрях. не возможно высморкаться. на носе налипает гной. выхот коричневые куски
	подъёмно отбоем зубочисть
	бегаем лево-право
	купаемся омовенѣ -- сода глина горчица мука
	лоно копчик
	радеемъ вобави
	вечно мая
	частота чистота
	разслабь
	мощи зубы ногти волосы
Сънъ
	эмбрионом
	подъём 6:00 (задых от заложености носа)
	отдых 00:30
	в спальнике в кущах
Погода
	срання летнетепло
	зенит дождик
	вечер
	ночь прохладно
Места
	возле Закітне Рер антены блиндаж
	бегаем по сливы в Закітне
Дело
	переключаем 2 генератора дизель по 2 ч
	здесь сейчас уже
	яснознание
	стоя за ноутбуком
	уборь мой заметай сжигай
	примерно порядочно
	своеручно самодѣльно от простого предтечи своего
	сделано псине шалаш на улице для цуциков
Общение
	заслужим
	подражай кумируй
	кажи молча
	завсегда да
	мы сможемъ
	кажи то падшим отдавшимнам развоплощенным
	непрописные
	2 желаемъ намъ
	блиндаж рер лаки с нгу
	разна двазна тризна кварзна
Финансы
	благотворить
Кулинария
	чисторъ неед
	возлежа: минераль соль олія греча томаты сливы
Эфир
Раща
Счёт
	многомерно
Звук
	без слов + шадровы
Хламидомагія
Связь антенны волноводы
Строй
Дэваглосса
	рисование кривых фракталов
Колодавство
	арконтан
Рисование черчение
Митрика
Метеургія
	курс
Камни
Уголовство
Обрядоретуалы
